entry_id,action_id,entry_index,account,direction,amount_link,chain_id,block_number,tx_hash,run_partition_id
60be71a3eeb8f798ad868bbe544fda73928ba263410b56eba96c187556bb2c8e,83a6e0f3be2d0752cbcd512fc291f3f9e627e7d662c73cc3ad92b64e14a4982f,0,wallet:0xedacecf45dd8137b499c902e271751130f4ade27,debit,146000000000000000000,1,18671459,0x08c2902756cb2808c056499225d6dbd40c3e656a3b53fe9d31679fcb8dc15e96,local-demo-2026-05-11
cceece7cdafa09428f28900d795e114e1929f784f05612dae5ca4a770a36cbef,83a6e0f3be2d0752cbcd512fc291f3f9e627e7d662c73cc3ad92b64e14a4982f,1,community_staking_pool:0xbc10f2e862ed4502144c7d632a3459f49dfcdb5e,credit,146000000000000000000,1,18671459,0x08c2902756cb2808c056499225d6dbd40c3e656a3b53fe9d31679fcb8dc15e96,local-demo-2026-05-11
34146b724b65b9116f988468861ea7f1bfc713616d2839ef9c4aa3ec88efc077,e3e2444f46721d16a2140dc51a3c89efb278ffc5a422cfed16f243c86da7b500,0,pa_swap_automator:0x36e827ba2b270535ca1b099a6ba2b280ddc0315e,debit,9463180000000000000000,1,24139066,0x92359883d1f38f36c619247ac9e0e6049cb5fcc7282012fc78ecf4089434ed91,local-demo-2026-05-11
d0eb6ba8b95f77a26268b58c5816432389c81b53cf8066215d3265adec783a9f,e3e2444f46721d16a2140dc51a3c89efb278ffc5a422cfed16f243c86da7b500,1,forwarded_to:0xd6e39d42acee7abcc460e6ea78a0844a0980e78f,credit,9463180000000000000000,1,24139066,0x92359883d1f38f36c619247ac9e0e6049cb5fcc7282012fc78ecf4089434ed91,local-demo-2026-05-11
b92069a92d8a9332e95db305f08082ee7d44b386658809537d5c44e0f4f4519a,da8e7b6b6df8640823ac2896c10a0f19e7b23775b0d8d779e0a6b1aa34febb3e,0,upstream:0x36e827ba2b270535ca1b099a6ba2b280ddc0315e,debit,9463180000000000000000,1,24139066,0x92359883d1f38f36c619247ac9e0e6049cb5fcc7282012fc78ecf4089434ed91,local-demo-2026-05-11
bddb3e6a7863db5460653835931d3db5e79233d51622f7f28b0dc634813affc5,da8e7b6b6df8640823ac2896c10a0f19e7b23775b0d8d779e0a6b1aa34febb3e,1,pa_reserves:0x5680681ed3767b96914ce741a308155c7fb9171d,credit,9463180000000000000000,1,24139066,0x92359883d1f38f36c619247ac9e0e6049cb5fcc7282012fc78ecf4089434ed91,local-demo-2026-05-11
